survey_year,company_size,num_employees,annual_revenue_usd_millions,company_age,ai_adoption_rate,ai_adoption_stage,years_using_ai,num_ai_tools_used,ai_projects_active,ai_training_hours,ai_budget_percentage,ai_maturity_score,ai_failure_rate,ai_investment_per_employee,regulatory_compliance_score,data_privacy_level,ai_ethics_committee,ai_risk_management_score,remote_work_percentage,employee_satisfaction_score,task_automation_rate,time_saved_per_week,productivity_change_percent,jobs_displaced,jobs_created,reskilled_employees,revenue_growth_percent,innovation_score,quarter_sin,quarter_cos,country_Australia,country_Brazil,country_Canada,country_Chile,country_China,country_Colombia,country_Egypt,country_France,country_Germany,country_India,country_Indonesia,country_Italy,country_Japan,country_Kenya,country_Malaysia,country_Netherlands,country_New Zealand,country_Nigeria,country_Philippines,country_Poland,country_Singapore,country_South Africa,country_South Korea,country_Spain,country_Sweden,country_Thailand,country_UK,country_USA,country_Vietnam,region_Asia,region_Europe,region_North America,region_Oceania,region_South America,industry_Consulting,industry_Education,industry_Finance,industry_Healthcare,industry_Logistics,industry_Manufacturing,industry_Retail,industry_Technology,ai_primary_tool_Claude,ai_primary_tool_Custom Internal AI,ai_primary_tool_Gemini,ai_primary_tool_GitHub Copilot,ai_primary_tool_Other,ai_use_case_Fraud Detection,ai_use_case_HR Automation,ai_use_case_Marketing Automation,ai_use_case_Medical Diagnostics,ai_use_case_Predictive Maintenance,ai_use_case_Software Development,ai_use_case_Supply Chain Optimization,cost_reduction_percent,customer_satisfaction
2025,1,935,117.22,3,62.94,2,3,3,7,38.32,15.58,0.484,24.11,19536.12,65,1,0,55,79.09,7.67,29.92,7.46,11.39,67,50,66,10.99,50,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.15,6.55
2026,2,11560,7563.25,23,66.97,2,9,4,17,24.63,14.44,0.578,17.66,94457.74,65,1,0,67,54.27,5.34,31.73,8.69,18.66,885,919,385,12.24,64,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.02,5.46
2025,0,19,25.81,14,37.87,2,5,2,6,14.7,8.29,0.272,32.16,112593.26,55,2,0,66,44.05,3.45,24.95,10.82,5.87,1,1,1,3.31,55,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4.37,5.81
2025,2,12267,1350.88,12,66.51,2,9,3,11,46.09,15.3,0.579,12.44,16847.82,73,0,0,74,57.95,6.23,51.8,11.32,17.66,1117,998,983,6.93,73,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,11.7,5.72
2026,1,294,135.64,22,39.89,2,4,2,4,23.91,4.82,0.231,22.46,22254.51,71,2,1,65,37.42,5.05,14.32,5.85,6.25,6,10,17,0.57,65,-1.0,-1.8369701987210294e-16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.84,5.01
2023,1,579,233.08,24,49.23,2,4,3,8,32.73,10.97,0.416,19.42,44174.13,62,2,0,54,47.97,5.44,15.31,3.99,15.39,12,29,41,3.63,50,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.74,7.46
2025,1,796,89.54,11,21.37,1,5,1,3,19.88,7.42,0.232,31.16,8350.37,75,2,1,73,56.17,4.88,20.5,5.07,3.46,34,16,36,0.23,71,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3.72,4.32
2025,1,219,167.25,24,23.95,1,3,2,5,21.77,7.85,0.279,28.43,59958.3,62,1,0,50,25.09,4.5,7.48,4.83,5.1,3,6,10,6.21,49,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.99,4.94
2023,2,1846,5582.85,8,43.4,2,4,3,8,30.06,14.14,0.447,16.36,427710.13,57,0,1,60,31.9,5.94,25.82,3.68,17.77,79,125,110,9.26,55,-1.0,-1.8369701987210294e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6.2,7.11
2025,1,317,322.49,35,16.09,1,8,3,2,24.11,4.82,0.198,28.22,49008.24,63,1,0,66,38.08,5.08,15.7,5.98,9.12,9,9,20,12.88,45,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5.08,5.48
2024,1,471,463.19,29,37.78,2,3,3,6,12.56,9.82,0.283,35.25,96552.0,63,2,1,57,46.92,5.71,18.17,7.6,4.02,20,13,15,2.93,53,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.46,4.52
2023,1,451,267.74,10,30.76,1,3,3,8,29.52,7.71,0.359,30.37,45765.31,63,0,1,69,13.15,5.96,8.04,3.27,9.48,17,14,22,8.26,49,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.06,4.23
2024,1,185,113.51,27,11.26,1,4,2,4,0.65,5.44,0.142,40.0,33367.92,64,2,0,55,17.44,4.45,7.86,3.42,1.47,2,3,4,-2.23,52,-1.0,-1.8369701987210294e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,4.97
2024,1,862,250.68,22,49.04,2,5,3,13,32.52,14.12,0.54,17.2,41059.04,57,1,0,58,40.74,6.0,33.19,9.91,20.67,67,55,81,6.67,64,-1.0,-1.8369701987210294e-16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.12,6.22
2023,0,41,4.43,29,34.92,1,2,3,8,30.87,10.31,0.399,30.51,11137.49,71,2,1,51,59.51,4.4,24.57,8.05,10.4,2,1,3,-3.52,50,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.71,5.89
2025,0,90,7.41,17,31.13,1,6,1,1,16.08,8.87,0.202,26.64,7306.96,65,0,0,47,43.44,4.53,34.33,8.75,8.41,5,4,2,9.84,48,-1.0,-1.8369701987210294e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.19,4.18
2024,1,658,292.38,15,20.1,1,8,2,4,23.96,5.14,0.235,32.8,22856.56,51,0,1,52,32.55,5.01,0.81,2.93,5.52,0,15,45,6.36,52,-1.0,-1.8369701987210294e-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.89,5.45
2025,1,930,278.68,20,26.94,1,7,1,5,7.17,9.07,0.234,34.02,27168.35,88,0,0,47,34.3,5.24,9.32,5.83,5.97,10,26,19,3.32,48,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,5.09
2026,1,723,441.84,29,55.98,2,6,4,9,43.38,13.97,0.517,17.01,85348.26,71,2,1,67,57.5,5.72,25.88,9.56,18.9,48,45,63,16.34,60,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.81,5.88
2025,0,44,21.52,21,27.33,1,3,2,1,11.92,8.44,0.179,34.53,41290.71,58,2,1,68,41.74,4.41,9.42,1.35,9.55,1,1,2,3.33,45,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,4.59
2024,1,322,75.14,12,45.32,2,7,3,10,22.79,8.92,0.381,23.81,20824.16,58,0,0,53,44.68,6.1,33.18,6.77,16.83,16,19,25,13.61,49,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8.73,6.77
2023,1,793,171.18,4,45.27,2,3,2,9,28.44,8.14,0.377,27.55,17578.75,81,1,0,59,42.46,6.75,24.82,5.21,8.48,43,48,33,0.03,61,-1.0,-1.8369701987210294e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.18,6.4
2024,0,58,40.14,8,35.29,2,6,1,8,27.0,7.69,0.348,31.44,53206.54,77,2,0,48,26.04,4.61,24.78,7.67,10.06,3,3,3,7.54,57,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.01,4.96
2023,0,22,11.56,11,14.76,1,3,1,5,16.03,6.97,0.243,38.13,36648.4,85,1,0,53,71.57,5.07,0.0,0.0,3.73,0,1,1,5.2,54,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,4.32
2023,0,65,3.97,21,22.34,1,6,3,0,3.66,11.47,0.168,35.46,7006.02,78,2,0,59,54.75,6.44,10.59,3.75,2.55,2,1,1,10.53,51,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4.19,4.6
2023,0,34,1.05,22,37.74,2,6,1,10,11.32,9.15,0.336,28.06,2824.86,57,2,0,49,64.52,5.11,20.78,5.09,8.1,1,1,1,4.28,65,1.0,6.123233995736766e-17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,4.54
2026,0,70,31.58,7,49.8,2,7,3,8,42.44,7.73,0.413,19.75,34883.1,70,2,1,73,56.73,4.52,35.44,8.67,15.06,6,4,6,9.1,51,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92,5.87
2024,1,774,246.81,25,12.83,1,5,2,1,8.21,5.95,0.13,34.99,18984.54,77,1,1,47,39.69,5.11,3.23,0.0,1.8,0,9,44,-2.75,45,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.85,5.28
2026,1,386,367.83,11,46.06,2,10,2,9,29.85,11.96,0.434,23.82,114009.24,76,1,1,66,31.03,5.71,20.45,7.34,10.82,15,23,35,7.04,57,-1.0,-1.8369701987210294e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5.36,5.69
2025,0,16,27.22,22,70.34,3,5,3,11,45.99,14.96,0.574,11.48,254432.23,57,2,0,61,30.31,4.74,32.51,9.17,17.45,1,1,2,21.87,66,-1.0,-1.8369701987210294e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.67,5.36
2026,0,53,37.04,30,59.1,2,3,2,6,23.73,12.91,0.371,28.89,90253.1,74,1,0,55,20.28,3.96,26.8,8.27,9.96,3,4,2,5.88,58,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.67,5.44
2023,1,899,50.51,25,27.86,1,7,1,6,28.8,3.5,0.267,30.04,1969.07,69,1,0,55,27.55,4.18,24.15,5.07,2.77,45,38,48,8.24,57,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.09,2.88
2025,1,441,215.02,31,22.26,1,8,1,0,22.08,8.13,0.2,21.42,39647.98,77,2,1,62,34.4,6.86,15.08,5.71,7.16,8,11,24,0.93,40,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2.12,6.42
2025,1,937,359.06,10,55.9,2,4,3,11,36.66,10.99,0.483,26.79,42103.74,53,1,0,72,48.94,5.78,35.69,10.91,14.54,76,63,91,4.76,63,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.86,5.92
2025,0,61,20.1,35,24.3,1,3,2,6,19.24,2.89,0.219,37.38,9527.51,71,2,0,59,42.13,3.97,12.59,4.97,7.38,2,0,4,4.33,41,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.78,3.16
2023,2,3674,9309.08,25,16.81,1,5,1,0,4.37,9.89,0.15,37.81,250571.05,56,1,0,50,48.9,4.68,16.5,5.07,6.31,113,13,137,0.12,42,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3.09,4.27
2025,1,979,378.34,26,50.27,2,5,3,8,33.63,10.61,0.415,21.44,41005.17,66,1,0,44,53.64,5.49,20.14,7.08,14.82,31,58,70,-2.79,65,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8.22,6.29
2023,1,620,215.06,33,29.75,1,7,1,7,21.59,9.23,0.33,38.01,32024.79,68,2,0,62,40.5,5.41,16.09,5.4,13.42,23,17,28,4.22,43,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.28,5.87
2025,0,36,39.29,32,14.55,1,5,1,2,9.74,4.79,0.138,40.0,52257.23,68,0,1,63,16.89,5.14,18.47,6.36,0.0,1,1,1,-1.0,47,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.13,4.37
2023,2,12984,8213.66,24,37.61,2,7,3,13,26.41,7.94,0.433,24.31,50242.14,70,2,0,60,40.8,4.69,14.14,4.18,7.09,344,555,553,14.53,68,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,6.35
2024,1,960,365.07,7,38.81,2,5,2,7,24.68,15.62,0.428,32.66,59416.41,88,2,0,59,52.66,6.42,21.69,5.2,8.75,38,56,63,12.35,56,-1.0,-1.8369701987210294e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,5.55
2025,1,952,405.85,23,22.6,1,8,1,4,15.22,3.81,0.181,37.63,16262.77,80,1,0,59,31.0,4.82,0.01,2.54,5.33,0,34,42,2.06,53,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.21
2024,0,46,12.38,27,26.07,1,6,2,6,25.38,7.91,0.311,29.11,21290.14,71,2,1,72,45.15,6.48,15.67,4.78,3.41,1,1,3,1.7,60,1.0,6.123233995736766e-17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.01,5.15
2024,2,1762,9241.71,5,38.73,2,5,2,8,23.96,14.61,0.428,30.41,766353.81,73,1,0,57,45.37,5.36,21.71,8.94,9.95,74,69,50,-1.94,65,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.93,4.63
2024,1,316,473.23,13,29.42,1,8,2,6,30.22,3.66,0.275,28.82,54857.84,59,2,1,72,29.56,4.26,24.41,6.8,7.48,16,10,20,2.63,68,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5.63,4.71
2025,0,72,18.16,19,32.62,1,8,2,4,17.62,7.35,0.238,39.1,18545.45,72,0,0,55,43.28,3.39,2.59,0.19,3.45,1,2,2,3.26,60,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,3.72
2025,1,879,318.68,25,36.22,2,4,2,5,31.59,6.66,0.304,25.63,24162.97,65,1,0,60,5.92,4.21,24.88,7.08,3.87,40,50,86,-5.0,56,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.67,5.42
